course_code,course_title,course_units,requisite,section,component,class_num,avail_status,Avail.,availability,open_seat,avail_seat,waitlist,day,time,start_time,end_time,location,instructor,Begin/End Dates
298,Introduction to Computer Science Research Methods,3,"Introduction to computer science research methods for first or second year Computer Science undergraduate students. Topics include creating research problems, reading research papers, conducting a literature review, designing research studies, qualitative and quantitative data analysis, communication of research findings, teamwork, and research directions. Students will work on teams to complete a mentored research proposal.",1,Lec,11779,O,Open30/30,30/30,30,30,,F,12:50PM-3:35PM,12:50 PM,3:35 PM,1228 Engineering Building 2,"Catete,Veronica",08/22/22 - 12/05/22
299,Mentored Research in Computer Science, 1 - 3,"Mentored research experience in Computer Science. The experience must be arranged in advance by the student and approved by the Department of Computer Science prior to enrollment. A minimum of 45 hours must be completed for each credit hour earned. A final report approved by the faculty mentor and the department are required. Individualized/Independent Research courses require a ""Course Agreement for Students Enrolled in Non-Standard Courses"" to be completed by the student and faculty member prior to registration by the department. CSC 299 may not be repeated.",1,Res,11781,O,Open35/35,35/35,35,35,,,TBD,TBD,TBD,,"Heckman,Sarah Smith",08/22/22 - 12/05/22
302,Introduction to Numerical Methods,3,Prerequisite: CSC 116 with a grade of C or higher and MA 305 or MA 405,1,Lec,1930,O,Open19/30,19/30,19,30,,M/W,8:30AM-9:45AM,8:30 AM,9:45 AM,1229 Engineering Building 2,"Stallmann,Matt",08/22/22 - 12/05/22
316,Data Structures and Algorithms,3,Prerequisite: CSC 216 with a grade of C or better and [CSC 226 or MA 225] with a grade of C or better,1,Lec,1931,O,Open92/125,92/125,92,125,,M/W,10:15AM-11:30AM,10:15 AM,11:30 AM,1025 Engineering Building 2,"King,Jason Tyler",08/22/22 - 12/05/22
316,Data Structures and Algorithms,3,Prerequisite: CSC 216 with a grade of C or better and [CSC 226 or MA 225] with a grade of C or better,2,Lec,7422,O,Open69/125,69/125,69,125,,T/Th,10:15AM-11:30AM,10:15 AM,11:30 AM,1231 Engineering Building 2,"King,Jason Tyler",08/22/22 - 12/05/22
316,Data Structures and Algorithms,3,Prerequisite: CSC 216 with a grade of C or better and [CSC 226 or MA 225] with a grade of C or better,601,Lec,1932,O,Open30/30,30/30,30,30,,,TBD,TBD,TBD,Distance Education - Online,"King,Jason Tyler",08/22/22 - 12/05/22
326,Software Engineering,4,Prerequisite: [CSC 230 or ECE 209] and [CSC 316 or ECE 309],1,Lec,1933,O,Open39/150,39/150,39,150,,M/W,6:00PM-7:15PM,6:00 PM,7:15 PM,1231 Engineering Building 2,"Ore,John-Paul",08/22/22 - 12/05/22
326,Software Engineering,4,Prerequisite: [CSC 230 or ECE 209] and [CSC 316 or ECE 309],201,Lab,5281,O,Open16/25,16/25,16,25,,Th,8:30AM-10:20AM,8:30 AM,10:20 AM,1221 Engineering Building 2,"Ore,John-Paul",08/22/22 - 12/05/22
326,Software Engineering,4,Prerequisite: [CSC 230 or ECE 209] and [CSC 316 or ECE 309],202,Lab,1934,O,Open2/25,02-25,2,25,,Th,10:40AM-12:30PM,10:40 AM,12:30 PM,1221 Engineering Building 2,"Ore,John-Paul",08/22/22 - 12/05/22
326,Software Engineering,4,Prerequisite: [CSC 230 or ECE 209] and [CSC 316 or ECE 309],203,Lab,1935,O,Open4/25,04-25,4,25,,Th,12:50PM-2:40PM,12:50 PM,2:40 PM,1221 Engineering Building 2,"Ore,John-Paul",08/22/22 - 12/05/22
326,Software Engineering,4,Prerequisite: [CSC 230 or ECE 209] and [CSC 316 or ECE 309],204,Lab,1936,O,Open8/25,08-25,8,25,,Th,3:00PM-4:50PM,3:00 PM,4:50 PM,1221 Engineering Building 2,"Ore,John-Paul",08/22/22 - 12/05/22
326,Software Engineering,4,Prerequisite: [CSC 230 or ECE 209] and [CSC 316 or ECE 309],205,Lab,7879,O,Open5/25,05-25,5,25,,Th,5:20PM-7:10PM,5:20 PM,7:10 PM,1221 Engineering Building 2,"Ore,John-Paul",08/22/22 - 12/05/22
326,Software Engineering,4,Prerequisite: [CSC 230 or ECE 209] and [CSC 316 or ECE 309],212,Lab,10664,O,Open4/25,04-25,4,25,,F,10:40AM-12:30PM,10:40 AM,12:30 PM,1221 Engineering Building 2,"Ore,John-Paul",08/22/22 - 12/05/22
333,"Automata, Grammars, and Computability",3,Prerequisite: Grade of C or better in either MA 225 or CSC 226,1,Lec,1937,O,Open104/125,104/125,104,125,,M/W,11:45AM-1:00PM,11:45 AM,1:00 PM,1231 Engineering Building 2,"Sheehy,Donald",08/22/22 - 12/05/22
333,"Automata, Grammars, and Computability",3,Prerequisite: Grade of C or better in either MA 225 or CSC 226,2,Lec,5994,O,Open76/125,76/125,76,125,,T/Th,11:45AM-1:00PM,11:45 AM,1:00 PM,1231 Engineering Building 2,"Jennings,Jamie Allison",08/22/22 - 12/05/22
342,Applied Web-based Client-Server Computing,3,Prerequisite: Grade of C or better in CSC 216,1,Lec,10666,C,Closed0/60,0/60,0,60,,T/Th,4:30PM-5:45PM,4:30 PM,5:45 PM,2207 Engineering Building 3,"Dominguez,Ignacio X.",08/22/22 - 12/05/22
379,Ethics in Computing,1,Requirement: Junior Standing,1,Lec,5627,W,Waitlist0/80 (6),0/80,0,80,6,T,8:30AM-9:20AM,8:30 AM,9:20 AM,135 BTEC,"Wright,David R",08/22/22 - 12/05/22
379,Ethics in Computing,1,Requirement: Junior Standing,2,Lec,11863,O,Open22/80,22/80,22,80,,Th,8:30AM-9:20AM,8:30 AM,9:20 AM,135 BTEC,"Wright,David R",08/22/22 - 12/05/22
401,Data and Computer Communications Networks,3,Prerequisite: ST 370 and CSC 246,1,Lec,1938,O,Open28/60,28/60,28,60,,M/W,3:00PM-4:15PM,3:00 PM,4:15 PM,1021 Engineering Building 2,"Dutta,Rudra",08/22/22 - 12/05/22
